image	result
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4365_exam.png	b
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3201_exam.png	a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2223_exam.png	c
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/571_exam.png	d
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3222_exam.png	a
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2129_exam.png	b
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3889_exam.png	c
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2031_exam.png	d
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2273_exam.png	d
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3786_exam.png	b
