id	agg_label	gold
1026.png	propertyascription	propertyascription
1033.png	propertyascription	identification
1297.png	preparation	identification
1364.png	identification	identification
1423.png	identification	identification
1424.png	identification	identification
1511.png	identification	identification
1531.png	elaboration	identification
155.png	identification	identification
1595.png	elaboration	propertyascription
1679.png	identification	identification
170.png	identification	identification
1742.png	preparation	identification
1759.png	preparation	preparation
1837.png	propertyascription	classascription
1863.png	identification	identification
1993.png	propertyascription	identification
2079.png	identification	identification
2105.png	identification	identification
2119.png	identification	identification
2146.png	identification	identification
2154.png	identification	identification
219.png	elaboration	propertyascription
2199.png	elaboration	elaboration
2233.png	identification	identification
2245.png	identification	identification
2269.png	identification	identification
2288.png	identification	identification
2329.png	propertyascription	identification
2330.png	identification	identification
2339.png	identification	identification
2407.png	elaboration	elaboration
2443.png	propertyascription	identification
2515.png	identification	identification
2516.png	propertyascription	identification
2524.png	preparation	identification
2539.png	identification	identification
2560.png	identification	identification
2592.png	identification	identification
2667.png	propertyascription	identification
2680.png	identification	identification
2699.png	identification	identification
2703.png	identification	identification
2722.png	propertyascription	identification
273.png	identification	identification
282.png	identification	identification
2867.png	identification	preparation
3055.png	preparation	identification
3065.png	preparation	preparation
3106.png	preparation	preparation
3123.png	propertyascription	propertyascription
3176.png	preparation	preparation
3338.png	preparation	preparation
3373.png	propertyascription	identification
3393.png	identification	preparation
3451.png	propertyascription	preparation
3464.png	elaboration	preparation
3482.png	identification	identification
352.png	preparation	identification
363.png	elaboration	elaboration
3860.png	preparation	preparation
3898.png	preparation	preparation
4046.png	preparation	identification
4071.png	preparation	preparation
4112.png	elaboration	identification
4115.png	preparation	identification
4164.png	elaboration	identification
4187.png	elaboration	elaboration
4294.png	preparation	preparation
4307.png	identification	identification
4336.png	identification	identification
4354.png	identification	classascription
4376.png	propertyascription	propertyascription
4438.png	propertyascription	propertyascription
4499.png	propertyascription	propertyascription
4501.png	elaboration	propertyascription
4502.png	identification	propertyascription
4539.png	elaboration	identification
46.png	identification	identification
4621.png	identification	identification
4672.png	propertyascription	propertyascription
4741.png	propertyascription	identification
4759.png	propertyascription	propertyascription
4830.png	identification	identification
4838.png	classascription	identification
4850.png	preparation	preparation
492.png	identification	identification
658.png	propertyascription	identification
697.png	identification	identification
698.png	identification	identification
771.png	preparation	identification
8.png	elaboration	elaboration
903.png	identification	identification
944.png	propertyascription	classascription
967.png	identification	propertyascription
991.png	identification	classascription
