id	mace	gold
8	elaboration	elaboration
15	classascription	identification
37	elaboration	elaboration
182	preparation	preparation
199	identification	identification
210	identification	identification
219	propertyascription	propertyascription
234	elaboration	identification
298	classascription	identification
654	identification	preparation
655	propertyascription	elaboration
656	preparation	preparation
724	identification	classascription
935	elaboration	propertyascription
944	propertyascription	classascription
953	propertyascription	propertyascription
967	propertyascription	propertyascription
991	identification	classascription
1000	propertyascription	propertyascription
1002	propertyascription	identification
1020	propertyascription	propertyascription
1025	propertyascription	classascription
1093	propertyascription	propertyascription
1097	identification	preparation
1290	identification	identification
1362	identification	propertyascription
1456	identification	classascription
1609	propertyascription	propertyascription
1712	identification	elaboration
1717	identification	classascription
1718	preparation	classascription
1837	identification	classascription
1932	classascription	elaboration
1934	classascription	classascription
2055	elaboration	classascription
2105	classascription	identification
2159	identification	elaboration
2203	elaboration	elaboration
2245	identification	identification
2255	identification	identification
2301	identification	identification
2339	identification	elaboration
2501	elaboration	elaboration
2512	elaboration	identification
2534	identification	identification
2579	propertyascription	elaboration
2602	identification	elaboration
2640	elaboration	elaboration
2656	identification	identification
2661	propertyascription	elaboration
2692	elaboration	elaboration
2734	identification	identification
2762	identification	identification
2862	preparation	preparation
2867	preparation	preparation
2885	preparation	preparation
2932	propertyascription	elaboration
2953	preparation	preparation
2966	preparation	preparation
3154	preparation	preparation
3176	preparation	preparation
3208	preparation	preparation
3419	identification	elaboration
3451	preparation	preparation
3514	elaboration	elaboration
3544	preparation	preparation
3651	preparation	preparation
3850	preparation	preparation
4004	preparation	preparation
4071	preparation	preparation
4228	classascription	classascription
4354	identification	classascription
4366	elaboration	elaboration
4383	identification	propertyascription
4397	propertyascription	identification
4419	identification	propertyascription
4426	identification	identification
4443	propertyascription	propertyascription
4490	identification	classascription
4496	identification	propertyascription
4499	propertyascription	propertyascription
4502	identification	propertyascription
4539	propertyascription	elaboration
4607	identification	identification
4684	propertyascription	classascription
4694	propertyascription	elaboration
4714	identification	propertyascription
4727	propertyascription	propertyascription
4759	elaboration	propertyascription
4769	propertyascription	propertyascription
4805	propertyascription	identification
4822	propertyascription	propertyascription
4850	preparation	preparation
4873	preparation	preparation
