id	agg_label	gold
1443.png	identification	identification
1541.png	preparation	identification
2238.png	propertyascription	identification
2364.png	propertyascription	identification
2529.png	identification	identification
2721.png	identification	identification
2846.png	propertyascription	elaboration
287.png	identification	identification
4008.png	preparation	preparation
4546.png	identification	identification
4561.png	identification	classascription
4708.png	propertyascription	propertyascription
4719.png	propertyascription	propertyascription
495.png	identification	identification
675.png	identification	identification
748.png	identification	identification
750.png	preparation	identification
776.png	identification	identification
824.png	identification	identification
852.png	identification	identification
