id	agg_label	gold
1000.png	propertyascription	propertyascription
1002.png	propertyascription	identification
1020.png	propertyascription	propertyascription
1025.png	propertyascription	classascription
1093.png	propertyascription	propertyascription
1097.png	propertyascription	preparation
1362.png	identification	propertyascription
1456.png	propertyascription	classascription
15.png	classascription	identification
1712.png	propertyascription	elaboration
1717.png	identification	classascription
1718.png	preparation	classascription
182.png	preparation	preparation
1837.png	identification	classascription
1932.png	classascription	elaboration
1934.png	classascription	classascription
199.png	propertyascription	identification
2055.png	classascription	classascription
210.png	identification	identification
2105.png	classascription	identification
2203.png	elaboration	elaboration
2245.png	identification	identification
2301.png	identification	identification
234.png	elaboration	identification
2501.png	elaboration	elaboration
2534.png	identification	identification
2579.png	propertyascription	elaboration
2602.png	identification	elaboration
2640.png	elaboration	elaboration
2656.png	identification	identification
2661.png	propertyascription	elaboration
2692.png	elaboration	elaboration
2734.png	identification	identification
2862.png	preparation	preparation
2867.png	preparation	preparation
2885.png	preparation	preparation
2932.png	propertyascription	elaboration
2953.png	preparation	preparation
2966.png	preparation	preparation
298.png	classascription	identification
3154.png	preparation	preparation
3176.png	preparation	preparation
3208.png	preparation	preparation
3419.png	identification	elaboration
3451.png	preparation	preparation
3514.png	elaboration	elaboration
3544.png	preparation	preparation
3651.png	preparation	preparation
37.png	elaboration	elaboration
3850.png	preparation	preparation
4004.png	preparation	preparation
4071.png	preparation	preparation
4228.png	classascription	classascription
4354.png	identification	classascription
4366.png	propertyascription	elaboration
4383.png	propertyascription	propertyascription
4397.png	propertyascription	identification
4419.png	identification	propertyascription
4426.png	identification	identification
4443.png	propertyascription	propertyascription
4490.png	propertyascription	classascription
4496.png	identification	propertyascription
4502.png	identification	propertyascription
4607.png	propertyascription	identification
4684.png	propertyascription	classascription
4694.png	propertyascription	elaboration
4714.png	propertyascription	propertyascription
4727.png	propertyascription	propertyascription
4759.png	elaboration	propertyascription
4769.png	propertyascription	propertyascription
4822.png	propertyascription	propertyascription
4850.png	preparation	preparation
4873.png	preparation	preparation
654.png	identification	preparation
655.png	propertyascription	elaboration
656.png	preparation	preparation
724.png	identification	classascription
8.png	elaboration	elaboration
935.png	classascription	propertyascription
944.png	propertyascription	classascription
953.png	propertyascription	propertyascription
967.png	propertyascription	propertyascription
991.png	propertyascription	classascription
